source_id,temporary_id,title,original_title,author_or_editor,translator,publisher,publication_year,isbn,format,page_count,language,source_level,processing_status,source_task,public_content_scope,local_asset_status
SRC-0001,TMP-001,世界文学的奇葩——拉丁美洲文学研究,,中国西班牙、葡萄牙、拉丁美洲文学研究会（编）,不适用,旅游教育出版社,1989,7-5637-0121-4/I-005,pdf,324,zh,A,l1_pass,N1-OCR-001,metadata_only,local_only
SRC-0002,TMP-002,拉丁美洲文学教程（阅读篇）,Manual de la Literatura Hispanoamericana,郑书九（主编）,不适用,外语教学与研究出版社,2017,978-7-5135-8570-5,pdf,478,zh+es,A,l1_pass,N1-OCR-001,metadata_only,local_only
SRC-0003,TMP-003,现代拉丁美洲文学,Modern Latin American Literature: A Very Short Introduction,罗伯托·冈萨雷斯·埃切维里亚,金薇,译林出版社,2020,978-7-5447-8101-5,pdf,277,zh+en,A,l1_pass,N1-OCR-001,metadata_only,local_only
SRC-0004,TMP-004,21世纪的拉美小说研究,,朱景冬,不适用,中国社会科学出版社,2019,978-7-5203-4744-0,pdf,364,zh,A,l1_pass,N1-OCR-001,metadata_only,local_only
SRC-0005,TMP-005,不止魔幻：拉美文学第一课,,侯健,不适用,广西师范大学出版社,2026,9787559869548,epub,N/A,zh,B,l1_pass,N1-OCR-001,metadata_only,local_only
SRC-0006,TMP-006,救赎者：拉丁美洲的面孔与思想,REDENTORES: CARAS Y PENSAMIENTOS EN AMÉRICA LATINA,恩里克·克劳泽,万戴,北京日报出版社,2020,978-7-5477-3702-6,epub,N/A,zh,B,l1_pass,N1-OCR-001,metadata_only,local_only
