card_source_id,origin_matrix_id,card_id,source_id,source_level,source_role,bibliographic_support,research_support,independent_source_key,usage_status,issue_code
V1-CS-0084,,V1-CARD-0044,SRC-0089,B,both,yes,yes,SRC-0089,used,NONE
V1-CS-0085,,V1-CARD-0044,SRC-0090,B,both,yes,yes,SRC-0090,used,NONE
V1-CS-0086,,V1-CARD-0045,SRC-0091,B,both,yes,yes,SRC-0091,used,NONE
V1-CS-0087,,V1-CARD-0046,SRC-0089,B,both,yes,yes,SRC-0089,used,NONE
V1-CS-0088,,V1-CARD-0046,SRC-0091,B,both,yes,yes,SRC-0091,used,NONE
V1-CS-0089,,V1-CARD-0047,SRC-0089,B,both,yes,yes,SRC-0089,used,NONE
V1-CS-0090,,V1-CARD-0047,SRC-0091,B,both,yes,yes,SRC-0091,used,NONE
V1-CS-0091,,V1-CARD-0048,SRC-0092,A,both,yes,yes,SRC-0092,used,NONE
V1-CS-0092,,V1-CARD-0049,SRC-0092,A,both,yes,yes,SRC-0092,used,NONE
V1-CS-0093,,V1-CARD-0049,SRC-0094,A,both,yes,yes,SRC-0094,used,NONE
V1-CS-0094,,V1-CARD-0050,SRC-0094,A,both,yes,yes,SRC-0094,used,NONE
V1-CS-0095,,V1-CARD-0050,SRC-0095,B,both,yes,yes,SRC-0095,used,NONE
V1-CS-0096,,V1-CARD-0051,SRC-0094,A,both,yes,yes,SRC-0094,used,NONE
V1-CS-0097,,V1-CARD-0051,SRC-0095,B,both,yes,yes,SRC-0095,used,NONE
V1-CS-0098,,V1-CARD-0052,SRC-0100,B,both,yes,yes,SRC-0100,used,NONE
V1-CS-0099,,V1-CARD-0053,SRC-0101,B,both,yes,yes,SRC-0101,used,NONE
V1-CS-0100,,V1-CARD-0054,SRC-0103,B,both,yes,yes,SRC-0103,used,NONE
V1-CS-0101,,V1-CARD-0055,SRC-0104,B,both,yes,yes,SRC-0104,used,NONE
V1-CS-0102,,V1-CARD-0056,SRC-0098,B,both,yes,yes,SRC-0098,used,NONE
V1-CS-0103,,V1-CARD-0057,SRC-0099,B,both,yes,yes,SRC-0099,used,NONE
V1-CS-0104,,V1-CARD-0058,SRC-0066,B,both,yes,yes,SRC-0066,used,NONE
V1-CS-0105,,V1-CARD-0058,SRC-0102,B,both,yes,yes,SRC-0102,used,NONE
V1-CS-0106,,V1-CARD-0059,SRC-0105,B,both,yes,yes,SRC-0105,used,NONE
V1-CS-0107,,V1-CARD-0060,SRC-0106,B,both,yes,yes,SRC-0106,used,NONE
V1-CS-0108,,V1-CARD-0061,SRC-0122,B,both,yes,yes,SRC-0122,used,NONE
V1-CS-0109,,V1-CARD-0062,SRC-0121,B,both,yes,yes,SRC-0121,used,NONE
